node_id,latitude,longitude
470,20.952503,105.832455
471,20.96356609,105.8324978
472,20.9526779,105.8325085
473,20.965585,105.832511
474,20.9633532,105.832538
475,20.96424235,105.8325863
476,20.96410209,105.8326185
477,20.96594,105.832651
478,20.967235,105.832648
479,20.954013,105.832667
480,20.965507,105.832753
481,20.965089,105.832769
482,20.953329,105.832785
483,20.95976145,105.8327901
484,20.96298,105.8327928
485,20.96608827,105.8328009
486,20.96477083,105.8328304
487,20.954544,105.8328331
488,20.964583,105.832857
489,20.965347,105.83286
490,20.96587,105.832879
491,20.96247405,105.8328867
492,20.96547,105.832903
493,20.952725,105.832911
494,20.96414,105.832938
495,20.9547995,105.8329457
496,20.9664815,105.8329484
497,20.963977,105.832973
498,20.965828,105.833026
499,20.953149,105.833053
500,20.9635185,105.8330637
501,20.96341581,105.8330718
502,20.95796054,105.8330905
503,20.95288831,105.8331549
504,20.9630351,105.833163
505,20.967862,105.833461
506,20.96639133,105.8332461
507,20.95813838,105.8332461
508,20.96253918,105.8332488
509,20.95983409,105.8332515
510,20.95289582,105.8332649
511,20.95838885,105.833281
512,20.95239736,105.8332837
513,20.96590043,105.8333239
514,20.966584,105.833324
515,20.964939,105.833335
516,20.965169,105.833348
517,20.96603818,105.8333534
518,20.964688,105.83338
519,20.96673446,105.8333856
520,20.96422,105.833391
521,20.96617093,105.833399
522,20.964057,105.833429
523,20.95790543,105.8334365
524,20.96630618,105.83345
525,20.966877,105.833458
526,20.9630852,105.8334902
527,20.953244,105.8335197
528,20.95474689,105.8335438
529,20.95811834,105.8335707
530,20.96259428,105.8335814
531,20.95290584,105.8335921
532,20.95312627,105.8336377
533,20.967308,105.833643
534,20.95330662,105.8336967
535,20.964275,105.83374
536,20.967646,105.833549
537,20.964117,105.83378
538,20.95719158,105.8337852
539,20.96569254,105.8338657
540,20.9650213,105.8338684
541,20.95318138,105.8338684
542,20.95333417,105.8338764
543,20.96581276,105.8339006
544,20.95292839,105.8339006
545,20.95261528,105.8339247
546,20.967749,105.83396
547,20.95763242,105.833973
548,20.96595803,105.8339837
549,20.964791,105.833997
550,20.95465923,105.8339998
551,20.95409314,105.8340025
552,20.9661033,105.8340132
553,20.96721285,105.8340454
554,20.95325652,105.8340508
555,20.964325,105.834072
556,20.95341182,105.8340776
557,20.964157,105.834099
558,20.95377001,105.8341098
559,20.967438,105.834131
560,20.95705632,105.8341795
561,20.95293089,105.8342037
562,20.95903508,105.8342332
563,20.95467175,105.8342654
564,20.9671327,105.8342895
565,20.95756228,105.8343029
566,20.95258522,105.8343512
567,20.95293089,105.8343646
568,20.96541,105.834375
569,20.95389275,105.8343914
570,20.968052,105.834252
571,20.95406057,105.8343941
572,20.95795052,105.8344182
573,20.95316635,105.8344263
574,20.95368234,105.8344424
575,20.964856,105.834461
576,20.95858923,105.8345228
577,20.964418,105.834552
578,20.95778521,105.8345523
579,20.957938,105.8345604
580,20.967902,105.834576
581,20.964235,105.834582
582,20.9589424,105.8346033
583,20.95747211,105.8346274
584,20.95464169,105.8346328
585,20.95373,105.834635
586,20.966208,105.834652
587,20.963771,105.834652
588,20.967624,105.834681
589,20.95440373,105.8346865
590,20.966917,105.834708
591,20.95406558,105.8347186
592,20.96329559,105.8347374
593,20.96280467,105.8347562
594,20.96845012,105.8347777
595,20.95476944,105.8347777
596,20.96008206,105.834783
597,20.95250757,105.834783
598,20.952916,105.834804
599,20.95849405,105.8348742
600,20.96671192,105.834893
601,20.97086702,105.8349091
602,20.970752,105.834947
603,20.968024,105.834952
604,20.95774263,105.834952
605,20.966451,105.835035
606,20.967739,105.835065
607,20.968615,105.835108
608,20.967098,105.835118
609,20.95833625,105.8351237
610,20.96683715,105.8351263
611,20.95884973,105.8351585
612,20.953695,105.83518
613,20.9548546,105.8351827
614,20.954096,105.835207
615,20.95435614,105.8352309
616,20.953036,105.835255
617,20.96017473,105.8353034
618,20.95430855,105.8353436
619,20.9541282,105.8353624
620,20.96716,105.83537
621,20.966101,105.835389
622,20.966389,105.835408
623,20.9555835,105.8354107
624,20.968024,105.835472
625,20.95312877,105.8355421
626,20.9552203,105.8355877
627,20.95444632,105.8356172
628,20.95468678,105.8356467
629,20.968678,105.83566
630,20.967348,105.835687
631,20.95266287,105.8356896
632,20.95437618,105.8357513
633,20.96351099,105.835754
634,20.954156,105.835767
635,20.953702,105.835781
636,20.95555595,105.8358371
637,20.95535807,105.8358371
638,20.953945,105.835845
639,20.953244,105.835893
640,20.97092463,105.8359149
641,20.97081443,105.835923
642,20.968821,105.835923
643,20.966331,105.835979
644,20.95688349,105.8360034
645,20.966759,105.836017
646,20.96029746,105.8360597
647,20.966304,105.836253
648,20.96755848,105.8360866
649,20.96011712,105.836108
650,20.955533,105.836121
651,20.95337926,105.8361617
652,20.96370886,105.8361697
653,20.95267039,105.8361697
654,20.95470181,105.8361778
655,20.954178,105.836199
656,20.95950347,105.8362314
657,20.968691,105.836245
658,20.95927804,105.8362824
659,20.95343687,105.8363065
660,20.96045276,105.836336
661,20.96815,105.836339
662,20.96729049,105.836387
663,20.95277559,105.8364111
664,20.95456154,105.8364218
665,20.96053792,105.8364353
666,20.96757351,105.836454
667,20.9674608,105.8364809
668,20.95303109,105.8364943
669,20.965978,105.836518
670,20.966271,105.836548
671,20.96020729,105.8365586
672,20.95379506,105.836682
673,20.965948,105.836738
674,20.95361471,105.8367571
675,20.96026741,105.8367625
676,20.95963872,105.8367786
677,20.96666183,105.8367974
678,20.95422339,105.8368215
679,20.95937823,105.8368242
680,20.95520528,105.836843
681,20.96758353,105.836859
682,20.95460663,105.8368966
683,20.95921792,105.8369207
684,20.95389275,105.8369529
685,20.95480701,105.8369663
686,20.96558985,105.8370173
687,20.96592297,105.8370575
688,20.966226,105.837092
689,20.9539704,105.8371192
690,20.967048,105.837143
691,20.953773,105.837184
692,20.9547494,105.8372587
693,20.966203,105.837259
694,20.96137199,105.8372641
695,20.96591,105.837267
696,20.96828231,105.8373874
697,20.95409314,105.8374813
698,20.967606,105.837484
699,20.966795,105.8375
700,20.95498986,105.8375162
701,20.968713,105.837519
702,20.96026741,105.8375511
703,20.95390026,105.8375537
704,20.95473437,105.8376423
705,20.95913026,105.837653
706,20.96813454,105.8376691
707,20.964806,105.837672
708,20.96564746,105.8376959
709,20.966679,105.837696
710,20.96585785,105.8377361
711,20.95529044,105.8377522
712,20.96568503,105.837822
713,20.96584783,105.8378541
714,20.95400296,105.8378568
715,20.96711,105.837961
716,20.967498,105.838015
717,20.966439,105.838085
718,20.96078088,105.8380875
719,20.96560738,105.8380982
720,20.95508004,105.8381492
721,20.96699745,105.8381572
722,20.95410566,105.8381894
723,20.95855417,105.8382162
724,20.96094118,105.838227
725,20.95775515,105.8382994
726,20.95514266,105.8383101
727,20.967421,105.838313
728,20.958614,105.838388
729,20.95417329,105.838396
730,20.96079841,105.8384335
731,20.9656725,105.8384657
732,20.96692,105.838466
733,20.96622603,105.8385006
734,20.965765,105.838509
735,20.962584,105.838511
736,20.96608076,105.8385462
737,20.95423842,105.838573
738,20.971022,105.838581
739,20.96200818,105.8385837
740,20.96144,105.838605
741,20.95789,105.83867
742,20.96726043,105.8386803
743,20.96561239,105.8387071
744,20.95679081,105.8387473
745,20.968054,105.838753
746,20.9657226,105.8387581
747,20.96023485,105.8387581
